product_id;category
61999;beer
2395;nab
49121;beer
2960;beer
65448;beer
10888;beer
69411;beer
21493;beer
32189;beer
19204;beer
42894;beer
54063;beer
98158;beer
87606;beer
89549;beer
4964;beer
88713;soda
20048;nab
18508;beer
6796;beer
83779;beer
31012;beer
40811;beer
6948;nab
7183;beer
7343;beer
76253;beer
99105;beer
93608;beer
16824;beer
63711;nab
17795;beer
8390;beer
14022;nab
74043;soda
8399;nab
73370;beer
52804;beer
95366;beer
71496;beer
41431;beer
41206;nab
41908;nab
8476;nab
51477;beer
25901;beer
8758;nab
71329;beer
8998;beer
59595;nab
91260;beer
9001;nab
80443;beer
24524;beer
56878;beer
53678;beer
30338;beer
44933;beer
19045;beer
96661;beer
20657;beer
80738;beer
11136;beer
11975;nab
12018;beer
12023;beer
12219;beer
92775;nab
12403;beer
65767;beer
13098;nab
13105;beer
71362;beer
29614;nab
13609;beer
72352;nab
14203;beer
78396;beer
14411;nab
14522;beer
14531;nab
89257;nab
13054;beer
13504;nab
14684;beer
14911;liquor
14974;beer
62377;liquor
15048;beer
19818;nab
80618;liquor
91290;beer
15075;nab
15094;beer
15098;beer
75670;beer
65090;nab
51849;nab
19377;nab
15278;beer
15279;nab
15281;nab
63394;beer
15295;nab
15302;nab
15303;beer
15336;beer
15348;beer
15365;beer
63088;beer
21729;beer
88583;beer
12812;beer
15465;beer
15504;beer
55266;beer
75739;beer
48975;beer
74739;beer
15515;nab
65787;beer
15647;liquor
54118;beer
38215;beer
15847;nab
60146;beer
47135;beer
21032;beer
45934;beer
65899;beer
51842;beer
15994;nab
61216;beer
60956;nab
86784;nab
16036;nab
26261;beer
16067;beer
80227;soda
16127;nab
16164;nab
16167;beer
16169;beer
69737;beer
94946;beer
16172;beer
28219;nab
70989;beer
16197;nab
16203;nab
16227;beer
61117;beer
70185;beer
16393;beer
16403;beer
16457;beer
16503;liquor
20593;beer
16535;nab
16610;liquor
16614;beer
79943;beer
16711;beer
16712;beer
16713;beer
16714;beer
16836;liquor
16943;nab
75744;beer
17073;nab
36299;beer
17117;beer
17161;nab
17313;nab
17318;nab
63533;beer
89232;beer
96167;beer
29546;beer
50781;beer
17356;beer
17359;nab
28026;beer
39405;beer
17395;nab
17412;nab
17441;liquor
17500;nab
17501;nab
17502;beer
17538;nab
17653;liquor
17675;liquor
17679;nab
17713;nab
14766;liquor
17830;beer
98842;nab
18082;beer
18083;nab
18163;liquor
18164;liquor
18167;nab
18177;nab
18179;nab
72870;beer
18284;beer
18285;beer
18371;beer
62735;nab
60508;beer
18650;nab
18713;beer
18755;beer
69566;nab
41373;nab
18806;nab
79919;beer
14965;nab
18890;nab
79265;beer
19026;liquor
19163;nab
19169;liquor
19264;nab
19265;nab
93001;nab
19319;nab
19338;nab
35683;beer
19460;beer
19552;nab
19662;liquor
19687;nab
19707;beer
19708;beer
95022;beer
70372;beer
19822;beer
19831;beer
88519;nab
19856;nab
19968;beer
13875;beer
78295;beer
76341;beer
40627;beer
19886;beer
19888;beer
19897;liquor
19914;beer
22638;beer
19923;beer
13038;nab
19953;nab
19984;nab
41310;nab
63635;nab
20037;beer
20052;nab
28529;soda
20054;nab
59639;beer
25055;beer
24549;nab
23975;nab
20148;nab
20176;beer
20322;beer
20323;beer
20351;nab
10105;beer
64041;beer
10051;beer
91031;beer
23393;beer
38236;beer
30094;beer
21554;beer
27202;nab
42711;nab
57618;nab
69749;nab
91761;nab
79389;beer
77784;nab
44602;nab
38804;nab
54628;beer
83628;beer
37063;beer
85997;nab
29944;beer
33017;beer
26518;liquor
58001;liquor
57102;nab
63804;beer
77856;liquor
71960;nab
22369;nab
20324;beer
2497220;nab
89499;nab
2498476;nab
76712;beer
14132;nab
27935;nab
87039;nab
27665;nab
89964;nab
83261;nab
62234;nab
89368;nab
