file_name,tuning,details,clean,chord
t_DADGBE_guitarA(b5)sus_Cfastxx108108DADGBE.mp3,DADGBE,A(b5)sus_Cfastxx108108,A(b5)sus_Cfastxx108108,Adim
t_DADGBE_guitarA(b5)sus_Fsfast404242DADGBE.mp3,DADGBE,A(b5)sus_Fsfast404242,A(b5)sus_Fsfast404242,D#dim
t_DADGBE_guitarA11sus2_Cfast1077787DADGBE.mp3,DADGBE,A11sus2_Cfast1077787,A11sus2_Cfast1077787,Am11
t_DADGBE_guitarA11sus2_Fsfast400000DADGBE.mp3,DADGBE,A11sus2_Fsfast400000,A11sus2_Fsfast400000,Em11
t_DADGBE_guitarA13fast004020DADGBE.mp3,DADGBE,A13fast004020,A13fast004020,A13
t_DADGBE_guitarA13fast111011111010DADGBE.mp3,DADGBE,A13fast111011111010,A13fast111011111010,A13
t_DADGBE_guitarA13fast200022DADGBE.mp3,DADGBE,A13fast200022,A13fast200022,A13
t_DADGBE_guitarA13fast400022DADGBE.mp3,DADGBE,A13fast400022,A13fast400022,A13
t_DADGBE_guitarA13fast7107779DADGBEv.mp3,DADGBE,A13fast7107779v,A13fast7107779v,A13
t_DADGBE_guitarA13fast7109779DADGBEv.mp3,DADGBE,A13fast7109779v,A13fast7109779v,A13
t_DADGBE_guitarA13fast755675DADGBEv.mp3,DADGBE,A13fast755675v,A13fast755675v,A13
t_DADGBE_guitarA13fast797789DADGBEv.mp3,DADGBE,A13fast797789v,A13fast797789v,A13
t_DADGBE_guitarA13fastx00022DADGBEv.mp3,DADGBE,A13fastx00022v,A13fastx00022v,A13
t_DADGBE_guitarA13fastx04020DADGBEv.mp3,DADGBE,A13fastx04020v,A13fastx04020v,A13
t_DADGBE_guitarA13fastx04223DADGBEv.mp3,DADGBE,A13fastx04223v,A13fastx04223v,A13
t_DADGBE_guitarA13fastx04423DADGBEv.mp3,DADGBE,A13fastx04423v,A13fastx04423v,A13
t_DADGBE_guitarA13fastx24223DADGBE.mp3,DADGBE,A13fastx24223,A13fastx24223,A13
t_DADGBE_guitarA13slow7107779DADGBEv.mp3,DADGBE,A13slow7107779v,A13slow7107779v,A13
t_DADGBE_guitarA13slow7109779DADGBEv.mp3,DADGBE,A13slow7109779v,A13slow7109779v,A13
