Label;Value;cod_veiculo;Modelo;codigoModelo
Acura;1;1;Integra GS 1.8;1
Acura;1;1;Legend 3.2/3.5;2
Acura;1;1;NSX 3.0;3
Agrale;2;1;MARRUÁ 2.8 12V 132cv TDI Diesel;4
Agrale;2;1;MARRUÁ AM 100 2.8  CS TDI Diesel;4564
Agrale;2;1;MARRUÁ AM 100 2.8 CD TDI Diesel;4563
Agrale;2;1;MARRUÁ AM 150 2.8  CS TDI Diesel;4566
Agrale;2;1;MARRUÁ AM 150 2.8 CD TDI Diesel;4565
Agrale;2;1;MARRUÁ AM 200 2.8  CD TDI Diesel;4567
Agrale;2;1;MARRUÁ AM 200 2.8 CS TDI Diesel;4568
Agrale;2;1;MARRUÁ AM 200 Escolar 2.8 TDI Diesel;9352
Agrale;2;1;MARRUÁ AM 200 Escolar 2.8 TDI Diesel E6;10568
Agrale;2;1;MARRUÁ AM 200 Microbus 2.8 TDI Diesel;9353
Agrale;2;1;MARRUÁ AM 250 3.8 CD TDI Diesel (E6);10569
Agrale;2;1;MARRUÁ AM 50 2.8 140cv TDI Diesel;4569
Alfa Romeo;3;1;145 Elegant 1.7/1.8 16V;5
Alfa Romeo;3;1;145 Elegant 2.0 16V;6
Alfa Romeo;3;1;145 Quadrifoglio 2.0;7
Alfa Romeo;3;1;145 QV;8
Alfa Romeo;3;1;147 2.0 16V 148cv 4p Semi-Aut.;9
Alfa Romeo;3;1;155;10
Alfa Romeo;3;1;155 Super;11
Alfa Romeo;3;1;156 2.5 V6 24V 190cv 4p Aut.;12
Alfa Romeo;3;1;156 Sport Wagon 2.0 16V;13
Alfa Romeo;3;1;156 Sport Wagon 2.5 V6 24V 4p Aut.;14
Alfa Romeo;3;1;156 TS/Sport/Elegant 2.0 16V;15
Alfa Romeo;3;1;164 3.0 V6;16
Alfa Romeo;3;1;164 Super V6 24V;17
Alfa Romeo;3;1;166 3.0 V6 24V;18
Alfa Romeo;3;1;2300 TI/TI-4;19
Alfa Romeo;3;1;Spider 2.0/3.0;20
AM Gen;4;1;Hummer Hard-Top 6.5 4x4 Diesel TB;21
AM Gen;4;1;Hummer Open-Top 6.5 4x4 Diesel TB;22
AM Gen;4;1;Hummer Wagon 6.5 4x4 Diesel TB;23
Asia Motors;5;1;AM-825 Luxo 4.0 Diesel;24
Asia Motors;5;1;AM-825 Super Luxo 4.0 Diesel;25
Asia Motors;5;1;Hi-Topic SLX/SDX/DLX Full Diesel;26
Asia Motors;5;1;Hi-Topic STD Diesel;27
Asia Motors;5;1;Hi-Topic Van 2.7 Diesel (furgão);28
Asia Motors;5;1;Jipe Rocsta GT 4x4 2.2 Diesel;29
Asia Motors;5;1;Topic Carga 2.7 Diesel (furgão);30
Asia Motors;5;1;Topic Luxo Diesel;31
Asia Motors;5;1;Topic Super Luxo Diesel;32
Asia Motors;5;1;Towner Coach Full;33
Asia Motors;5;1;Towner Furgão;34
Asia Motors;5;1;Towner Glass Van;35
Asia Motors;5;1;Towner Luxo;36
Asia Motors;5;1;Towner Multiuso 5p;37
Asia Motors;5;1;Towner Panel Van;38
Asia Motors;5;1;Towner Pick-Up;39
Asia Motors;5;1;Towner SDX / DLX/ STD;40
Asia Motors;5;1;Towner Super Luxo;41
Asia Motors;5;1;Towner Truck;42
ASTON MARTIN;189;1;DB9 Coupe 6.0 V12 510cv;6906
ASTON MARTIN;189;1;DB9 Volante 6.0 V12 470cv;6340
ASTON MARTIN;189;1;DBS Coupe 5.2 V12 725cv;10560
ASTON MARTIN;189;1;DBX 4.0 V8 550cv;10561
ASTON MARTIN;189;1;DBX707 4.0 V8 707cv;10562
ASTON MARTIN;189;1;Rapide 6.0 V12 477cv;6341
ASTON MARTIN;189;1;Rapide S 6.0 V12 550cv;6907
ASTON MARTIN;189;1;Vanquish V12 6.0 565cv;6909
ASTON MARTIN;189;1;Vantage 6.0 V12 510cv;6342
ASTON MARTIN;189;1;Vantage Coupe 4.7 V8 425cv;6343
ASTON MARTIN;189;1;Vantage Cupê  4.0 V8 510cv;10144
ASTON MARTIN;189;1;Vantage Cupê F1 Edition 4.0 V8 535cv;10183
ASTON MARTIN;189;1;Vantage Roadster 4.7 V8 420cv;6344
ASTON MARTIN;189;1;Vantage Roadster F1 Edition 4.0 V8 535cv;10642
ASTON MARTIN;189;1;Vantage S 6.0 V12 565cv;6908
ASTON MARTIN;189;1;Vantage S Coupe 4.7 V8 430cv;6345
ASTON MARTIN;189;1;Virage Coupe 6.0 V12 490cv;6346
Audi;6;1;100 2.8 V6;43
Audi;6;1;100 2.8 V6 Avant;44
Audi;6;1;100 S-4 2.2 Avant Turbo;45
Audi;6;1;80 2.0;46
Audi;6;1;80 2.0 Avant;47
Audi;6;1;80 2.6/ 2.8;48
Audi;6;1;80 2.6/2.8 Avant;49
Audi;6;1;80 2.8 Cabriolet;50
Audi;6;1;80 S2 Avant;51
Audi;6;1;A1 1.4 TFSI 122cv S-tronic 3p;5496
Audi;6;1;A1 2.0 TFSI Quattro 256cv 3p;6293
Audi;6;1;A1 Sport 1.4 TFSI 185cv 3p S-tronic;6143
Audi;6;1;A1 Sport. S Edition 1.4 TFSI 5p S-tronic;7727
Audi;6;1;A1 Sportback 1.4 TFSI 185cv 5p S-tronic;6201
Audi;6;1;A1 Sportback 1.4 TFSI 5p S-tronic;6200
Audi;6;1;A1 Sportback 1.8 TFSI 192cv 5p S-tronic;7418
Audi;6;1;A3 1.6 3p;52
Audi;6;1;A3 1.6 3p Aut.;53
Audi;6;1;A3 1.6 5p;54
Audi;6;1;A3 1.6 5p Aut.;55
Audi;6;1;A3 1.6 8V 102cv 3p;4154
Audi;6;1;A3 1.8 3p;56
Audi;6;1;A3 1.8 3p Aut.;57
Audi;6;1;A3 1.8 5p Aut.;58
Audi;6;1;A3 1.8 5p Mec.;59
Audi;6;1;A3 1.8 Turbo 180cv 3p Aut./ Tip.;60
Audi;6;1;A3 1.8 Turbo 180cv 3p Mec.;61
Audi;6;1;A3 1.8 Turbo 180cv 5p Aut./ Tip.;62
Audi;6;1;A3 1.8 Turbo 180cv 5p Mec.;63
Audi;6;1;A3 1.8 Turbo 3p Aut.;64
Audi;6;1;A3 1.8 Turbo 3p Mec.;65
Audi;6;1;A3 1.8 Turbo 5p Aut.;66
Audi;6;1;A3 1.8 Turbo 5p Mec.;67
Audi;6;1;A3 Cabriolet 1.8 16V TFSI 180cv S-tronic;6950
Audi;6;1;A3 Cabriolet Ambition 2.0 TFSI S-tronic;8227
Audi;6;1;A3 Cabriolet Perfor. 2.0 TFSI S-tronic;8559
Audi;6;1;A3 Sed. Ambition 2.0 TSFI 220cv S-tronic;7419
Audi;6;1;A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.;8945
Audi;6;1;A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.;8768
Audi;6;1;A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic;6689
Audi;6;1;A3 Sed.Perf. Black 2.0 TFSI S-tr. (Hib.);10195
Audi;6;1;A3 Sedan 1.4 TFSI Flex Tiptronic 4p;7391
Audi;6;1;A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic;6768
Audi;6;1;A3 Sedan Performance 2.0 TFSI S-tronic;8560
Audi;6;1;A3 Sedan Prestige 1.4 TFSI Flex Tip.;8561
Audi;6;1;A3 Sedan Prestige Plus 1.4 TFSI Flex Tip;8562
Audi;6;1;A3 Sedan S-Line 2.0 TFSI  S-Tron.(Híb.);9963
Audi;6;1;A3 Sedan S-Line Limited 1.4 TFSI Tiptro.;9655
Audi;6;1;A3 Sport 1.8 16V TFSI S-tronic 3p;6461
Audi;6;1;A3 Sport 2.0 16V TFSI S- tronic;5125
Audi;6;1;A3 Sportb. Perf. Black 2.0 S-tron.(Híb.);9964
Audi;6;1;A3 Sportb. Prestige Plus 1.4 TFSI S-tron;8563
Audi;6;1;A3 Sportb. S-Line 2.0 TFSI S-Tron.(Híb.);9965
Audi;6;1;A3 Sportb. S-Line Limited 1.4 TFSI Tip.;9657
Audi;6;1;A3 Sportback 1.4 TFSI S-tronic;6510
Audi;6;1;A3 Sportback 1.6 8V 102cv 5p;4155
Audi;6;1;A3 Sportback 1.8 16V TFSI S-tronic 5p;6511
Audi;6;1;A3 Sportback 2.0 16V TFSI Mec.;4156
Audi;6;1;A3 Sportback 2.0 16V TFSI S-tronic;4157
Audi;6;1;A4 1.8  Aut.;68
Audi;6;1;A4 1.8  Mec.;69
Audi;6;1;A4 1.8 Avant Aut.;70
Audi;6;1;A4 1.8 Avant Mec.;71
Audi;6;1;A4 1.8 Avant Turbo Mec.;72
Audi;6;1;A4 1.8 Avant Turbo Tip./ Multitronic;73
Audi;6;1;A4 1.8 Tip./ Multitronic Turbo;74
Audi;6;1;A4 1.8 Turbo;75
Audi;6;1;A4 2.0 16V TFSI 183/180cv Multitronic;4843
Audi;6;1;A4 2.0 16V TFSI 200/ 214cv Multitronic;4182
Audi;6;1;A4 2.0 16V TFSI Quattro Stronic;6144
Audi;6;1;A4 2.0 20V 130cv Multitronic 4p;76
Audi;6;1;A4 2.0 Avant 16V TFSI Quattro Stronic;6145
Audi;6;1;A4 2.0 Avant Ambie. 2.0 16V TFSi S tron.;7750
Audi;6;1;A4 2.0 Avant TFSI 183/180cv Multitroni;4844
Audi;6;1;A4 2.0 Avant TFSI 200/214cv Multitron.;4183
Audi;6;1;A4 2.4 30V Avant Mec.;77
Audi;6;1;A4 2.4 30V Avant Tip./Multitronic;78
Audi;6;1;A4 2.4 30V Mec.;79
Audi;6;1;A4 2.4 30V Tip./Multitronic;80
Audi;6;1;A4 2.4 Avant V6 30V Quattro Mec.;81
Audi;6;1;A4 2.4 Avant V6 30V Quattro Tiptronic;82
Audi;6;1;A4 2.4 V6 30V Quattro Mec.;83
Audi;6;1;A4 2.4 V6 30V Quattro Tiptronic;84
Audi;6;1;A4 2.8;85
Audi;6;1;A4 2.8 30V  Tiptronic/ Aut.;86
Audi;6;1;A4 2.8 30V Mec.;87
Audi;6;1;A4 2.8 Avant V6 12V;88
Audi;6;1;A4 2.8 Avant V6 30V Mec.;89
Audi;6;1;A4 2.8 Avant V6 30V Quattro Mec.;90
Audi;6;1;A4 2.8 Avant V6 30V Quattro Tiptronic;91
Audi;6;1;A4 2.8 Avant V6 30V Tiptronic;92
Audi;6;1;A4 2.8 V6 30V  Quattro Tiptronic;93
Audi;6;1;A4 2.8 V6 30V Quattro Mec.;94
Audi;6;1;A4 3.0 30V 218cv Multitronic 4p;95
Audi;6;1;A4 3.0 30V 218cv Quattro Tiptron./Aut 4p;96
Audi;6;1;A4 3.0 Avant 30V 218cv Multitronic 5p;97
Audi;6;1;A4 3.0 Avant 30V 218cv Quattro Tiptronic;98
Audi;6;1;A4 3.0 Cabriolet 30V 218cv Multitronic;99
Audi;6;1;A4 3.2 FSI 24V 255cv Multitronic;4286
Audi;6;1;A4 3.2 FSI 24V 269cv Quattro Tiptronic;4731
Audi;6;1;A4 3.2 FSI Avant 24V 255cv Multitronic;4287
Audi;6;1;A4 3.2 FSI Avant 24V Quattro S Tronic;4935
Audi;6;1;A4 3.2 FSI Cabriolet 24V 255cv Multitron;4288
Audi;6;1;A4 Ambiente 2.0 TFSI 190cv S tronic;7717
Audi;6;1;A4 Ambition 2.0 TFSI Quattro S tronic;7894
Audi;6;1;A4 Attraction 2.0 TFSI 190cv S tronic;7656
Audi;6;1;A4 Avant Lim. Ed. 2.0 TFSI S tronic;8228
Audi;6;1;A4 Avant Prest. Plus 2.0 TFSI S-tronic;8769
Audi;6;1;A4 Launch Edition 2.0 TFSI 190cv S troni;7537
Audi;6;1;A4 Limited Edition 2.0 TFSI S tronic;8229
Audi;6;1;A4 Perfor. Black 2.0 TFSI Quat. S tronic;9223
Audi;6;1;A4 Prestige 2.0 TFSI S-tronic;9894
Audi;6;1;A4 Prestige Plus 2.0 TFSI 190cv S tronic;8771
Audi;6;1;A4 S Line 2.0  TFSI 204cv S Tonic;9824
Audi;6;1;A5 3.2 FSI 24V 269cv Multitronic;4798
Audi;6;1;A5 3.2 FSI V6 24V 269cv Quattro Tiptroni;5126
Audi;6;1;A5 Ambiente Sportb. 2.0 TFSI S tonic;7999
Audi;6;1;A5 Ambit. Plus Sport. 2.0 TFSI S tronic;8000
Audi;6;1;A5 Ambit. Sport. 2.0 TFSI S tronic;8001
Audi;6;1;A5 Attraction Sportb. 2.0 TFSI S tronic;8002
Audi;6;1;A5 Cabriolet 2.0 TFSI Quattro Stronic;6082
Audi;6;1;A5 Coupê 2.0 TFSI Quattro Stronic;6083
Audi;6;1;A5 Sportb. 2.0 16V TFSI Quat. S-tronic;6084
Audi;6;1;A5 Sportb. Carbon Ed. 2.0 TFSI S-tronic;10652
Audi;6;1;A5 Sportb. Perf. 2.0 TFSI Quat. S-tronic;8564
Audi;6;1;A5 Sportb. Prestige 2.0 16V TFSI S-troni;8565
Audi;6;1;A5 Sportb.Perf.B. 2.0 TFSI Quat. S-troni;8566
Audi;6;1;A5 Sportb.Prestige Plus 2.0 TFSI S-tronc;8567
Audi;6;1;A5 Sportback 1.8 TFSI 170cv Multi.;7022
Audi;6;1;A5 Sportback 2.0 16V TFSI 180cv Multi.;6043
Audi;6;1;A5 Sportback 2.0 16V TFSI 211cv Multi.;5234
Audi;6;1;A5 Sportback S-Line 2.0 TFSI S-tronic;8772
Audi;6;1;A6 2.0 TFSI 252cv S tronic 4p;7254
Audi;6;1;A6 2.4 30V Mec;100
Audi;6;1;A6 2.4 30V Tip./Multitronic;101
Audi;6;1;A6 2.4 Avant 30V Mec.;102
Audi;6;1;A6 2.4 Avant 30V Tip./ Multitronic;103
Audi;6;1;A6 2.4 Avant V6 30V Quattro Mec.;104
Audi;6;1;A6 2.4 Avant V6 30V Quattro Tiptronic;105
Audi;6;1;A6 2.4 V6 30V Quattro Mec;106
Audi;6;1;A6 2.4 V6 30V Quattro Tiptronic;107
Audi;6;1;A6 2.7 30V Avant Tiptronic;108
Audi;6;1;A6 2.7 30V Mec.;109
Audi;6;1;A6 2.7 Avant Quattro Tiptronic;110
Audi;6;1;A6 2.7 Quattro Tiptronic;111
Audi;6;1;A6 2.8;112
Audi;6;1;A6 2.8 30V Mec.;113
Audi;6;1;A6 2.8 30V Tiptronic;114
Audi;6;1;A6 2.8 Avant;115
Audi;6;1;A6 2.8 Avant 30V Mec.;116
Audi;6;1;A6 2.8 Avant 30V Tiptronic;117
Audi;6;1;A6 2.8 Avant V6 30V Quattro Mec.;118
Audi;6;1;A6 2.8 Avant V6 30V Quattro Tiptronic;119
Audi;6;1;A6 2.8 V6 30V Quattro Mec.;120
Audi;6;1;A6 2.8 V6 30V Quattro Tiptronic;121
Audi;6;1;A6 3.0 Avant V6 30V 218cv Multitronic 5p;122
Audi;6;1;A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p;5374
Audi;6;1;A6 3.0 Avant.TFSI V6 Quattro S tronic 5p;6413
Audi;6;1;A6 3.0 TB FSI V6 Quattro Tiptronic;4958
Audi;6;1;A6 3.0 TFSI V6 Quattro S tronic 4p;6414
Audi;6;1;A6 3.0 V6 30V 218cv Multitronic 4p;123
Audi;6;1;A6 3.2 FSI 24V 255cv Multitronic;4526
Audi;6;1;A6 4.2 Avant Quattro Tiptronic;124
Audi;6;1;A6 4.2 Quattro Tiptronic;125
Audi;6;1;A6 Allroad 3.0 TFSI V6 Quattro S tronic;6462
Audi;6;1;A6 Perf. Black 3.0 TFSI Quattro S-tronic;9298
Audi;6;1;A6 Performance 3.0 TFSI Quattro S.tronic;8814
Audi;6;1;A6 Prestige Plus 2.0 TFSI Quattro S-tro.;9451
Audi;6;1;A7 SP.b. Perf. Bla. 3.0 TFSI Quat. S-tro;9319
Audi;6;1;A7 Sportback 2.0 TFSI S Tronic;7447
Audi;6;1;A7 Sportback 3.0 TFSI Quattro S Tronic;5549
Audi;6;1;A7 Sportback Perf. 3.0 TFSI S-tron Quat.;8815
Audi;6;1;A8 3.0 TFSI 310cv Quattro Tiptronic 4p;7127
Audi;6;1;A8 4.0 TFSI Quattro Tiptronic;6631
Audi;6;1;A8 4.2 Quattro Tiptronic;126
Audi;6;1;A8 4.2 V8 32V Tiptronic;127
Audi;6;1;A8 6.0 W12 48V 450cv Quattro Tiptronic;3928
Audi;6;1;A8 6.3 W12 48V Quattro Tiptronic;5717
Audi;6;1;Allroad 2.7 30V Quattro Turbo Tiptronic;128
Audi;6;1;Avant RS2;129
Audi;6;1;E-TRON Performa. Black Aut. (Elétrico);9077
Audi;6;1;E-TRON Performace Aut. (Elétrico);9078
Audi;6;1;E-TRON S Sportback Quat. Aut. (Elétrico);9605
Audi;6;1;E-TRON Sportb. Perf.Black Aut.(Elétrico);9186
Audi;6;1;E-TRON Sportback Perf. Aut. (Elétrico);9187
Audi;6;1;Q3 1.4 TFSI/TFSI Flex S-tronic 5p;7255
Audi;6;1;Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p;6044
Audi;6;1;Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p;6045
Audi;6;1;Q3 Black Ed. 1.4 TFSI Flex/Black S-tron.;8230
Audi;6;1;Q3 Black S Line 1.4 TFSI S-tronic;9304
Audi;6;1;Q3 P. Plus 1.4 TFSI Flex/P.Plus S-tronic;8569
Audi;6;1;Q3 Perf. Black 2.0 TFSI Tiptr. Quattro;9796
Audi;6;1;Q3 Performance 2.0 TFSI Tiptr. Quattro;9871
Audi;6;1;Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic;8568
Audi;6;1;Q3 Prestige 2.0 TFSI Tiptr.Quatro ;10111
Audi;6;1;Q3 SPB Perf. Black 2.0 TFSI Tipt. Quat.;9835
Audi;6;1;Q3 SPB Performance 2.0 TFSI Tipt. Quatt.;9836
Audi;6;1;Q5 2.0 16V TFSI 225cv Quattro Tiptronic;6573
Audi;6;1;Q5 2.0 16V TFSI Quattro S Tronic;4936
Audi;6;1;Q5 2.0 TFSI Quattro S tronic (Blindado);8231
Audi;6;1;Q5 3.0 V6 TFSI 272cv Quattro Tiptronic;6486
Audi;6;1;Q5 3.2 FSI V6 Quattro S Tronic;4959
Audi;6;1;Q5 Ambiente 2.0 TFSI Quattro S tronic;8036
Audi;6;1;Q5 Ambition 2.0 TFSI Quattro S tronic;8037
Audi;6;1;Q5 Attraction 2.0 TFSI Quattro S tronic;8038
Audi;6;1;Q5 Black 2.0 TFSI Quattro S tronic;8583
Audi;6;1;Q5 Perf. Black 2.0 TFSIe S.Tr. Qt (Hib.);10045
Audi;6;1;Q5 Performance 2.0 TFSIe S.Tr. Qt (Hib.);10046
Audi;6;1;Q5 Prestige 2.0 TFSI Quattro S tronic;8584
Audi;6;1;Q5 Prestige Plus 2.0 TFSI Quat. S tronic;8585
Audi;6;1;Q5 SB P Black. 2.0 TFSIe S.Tr. Qt (Hib.);10047
Audi;6;1;Q5 SB Perf. 2.0 TFSIe S.Tr. Qt (Hib.);10048
Audi;6;1;Q5 S-Line 2.0 TFSI Quattro S-tronic;8773
Audi;6;1;Q5 S-Line Black 2.0 TFSI Quat. S-Tronic;9486
Audi;6;1;Q5 SPB. S-Line Black 2.0 TFSI Qua.S-Tron;9526
