Titulo;Imagem;Link;Status Lote;Lance Atual;Visitas_lances
Leilão 23975 - 001 -  Terreno (Desocupado)  - RESIDENCIAL SANTA CRUZ - SÃO JOSÉ DO RIO PRETO - SP ;;/leilao/23975/lote/2388312/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4883/;;;Visitas: 2081 | Lances: 0
Leilão 23975 - 002 -  Casa (Desocupado)  - RESIDENCIAL SANTA CRUZ - SÃO JOSÉ DO RIO PRETO - SP ;;/leilao/23975/lote/2388313/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4883/;;;Visitas: 3996 | Lances: 0
Leilão 23975 - 003 -  Casa (Desocupado)  - RESIDENCIAL SANTA CRUZ - SÃO JOSÉ DO RIO PRETO - SP ;;/leilao/23975/lote/2388314/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4883/;;;Visitas: 1437 | Lances: 0
Leilão 23975 - 004 -  Sala comercial (Desocupado)  - JARDIM PAULISTANO - SÃO PAULO - SP ;https://photos.sodresantoro.com.br/imoveis/23975/2388315/1684862902_I15718A.JPG?ims=430x323;/leilao/23975/lote/2388315/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4883/;;;Visitas: 7215 | Lances: 0
Leilão 24050 - 001 -  Lote Residencial (Desocupado)  - Camacari - BA ;https://photos.sodresantoro.com.br/imoveis/24050/2394590/1686254620_I15738A.JPG?ims=430x323;/leilao/24050/lote/2394590/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 750 | Lances: 0
Leilão 24050 - 004 -  Casa Residencial - Volta Redonda - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394594/1671811437_I13558A.JPG?ims=430x323;/leilao/24050/lote/2394594/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 390 | Lances: 0
Leilão 24050 - 005 -  Casa Residencial - Pombos - PE ;https://photos.sodresantoro.com.br/imoveis/24050/2394596/1686254622_I15740A.JPG?ims=430x323;/leilao/24050/lote/2394596/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 49.146;Visitas: 1494 | Lances: 1
Leilão 24050 - 006 -  Lote Residencial (Desocupado)  - Perola - PR ;https://photos.sodresantoro.com.br/imoveis/24050/2394598/1686254623_I15741A.JPG?ims=430x323;/leilao/24050/lote/2394598/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 783 | Lances: 0
Leilão 24050 - 007 -  Sala comercial Comercial (Desocupado)  - Rio De Janeiro - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394600/1686254623_I15742A.JPG?ims=430x323;/leilao/24050/lote/2394600/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 417 | Lances: 0
Leilão 24050 - 008 -  Lote Residencial (Desocupado)  - Sete Lagoas - MG ;https://photos.sodresantoro.com.br/imoveis/24050/2394603/1686254628_I15743A.JPG?ims=430x323;/leilao/24050/lote/2394603/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 35.785;Visitas: 694 | Lances: 1
