Titulo;Leilao;Segmento;Tipo Categoria;situacao;data_hora
ALFREDO TRANJAN NETO;/leilao/23975/;Imóveis (4);;Auditório Virtual        ;05/07/2023 11:29:47
BANCO SANTANDER (BRASIL) S/A;/leilao/24050/;Imóveis (58);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC;/leilao/24178/;Veículos (228);;Ao Vivo        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24110/;Imóveis (1);Casa de morada;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24109/;Veículos (2);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24117/;Materiais (13);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) Setor de Execuções Fiscais da Comarca...;/leilao/24112/;Materiais (3);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24115/;Materiais (3);;Auditório Virtual        ;05/07/2023 11:29:47
GRUPO BRADESCO;/leilao/24168/;Veículos (83);;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24104/;Materiais (41);;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24098/;Veículos (26);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC;/leilao/24182/;Veículos (153);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) - 1ª Vara e Ofício Cível da Comarca d...;/leilao/24092/;Imóveis (1);Direitos sobre apar...;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) - 27ª Vara e Ofício Cível da Capital/SP;/leilao/24093/;Imóveis (1);Sobrado;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) - 4ª Vara e Ofício Cível de Bauru/SP;/leilao/24091/;Imóveis (1);Direitos sobre apar...;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 3ª Vara e Ofício Cível da Comarca de ...;/leilao/24095/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 26ª Vara Cível do Foro Central da Cap...;/leilao/24094/;Imóveis (1);Imóvel Residencial;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24122/;Materiais (39);;Auditório Virtual        ;05/07/2023 11:29:47
RAPHAEL BIGIO;/leilao/23996/;Imóveis (1);Sala comercial;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC;/leilao/24183/;Veículos (15);;Auditório Virtual        ;05/07/2023 11:29:47
OUTROS;/leilao/24099/;Imóveis (1);Salas comerciais;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24116/;Materiais (77);;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24097/;Veículos (124);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC;/leilao/24197/;Veículos (5);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 3ª Vara e Ofício Cível da Comarca de ...;/leilao/24203/;Materiais (1);;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24106/;Veículos (258);;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24148/;Materiais (28);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC;/leilao/24184/;Veículos (17);;Auditório Virtual        ;05/07/2023 11:29:47
TRATOR AGRICOLA;/leilao/24136/;Materiais (1);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS, SEGURADORAS, ETC - MOTOS;/leilao/24180/;Veículos (6);;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24174/;Materiais (11);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 1ª Vara e Ofício Cível de Capão Bonit...;/leilao/24140/;Veículos (2);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) Vara e Ofício do Juizado Especial Cív...;/leilao/24142/;Materiais (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) - 5ª Vara e Ofício Cível do Foro Cent...;/leilao/24143/;Imóveis (1);Box;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 26ª Vara e Ofício Cível do Foro Centr...;/leilao/24146/;Materiais (5);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 1ª Vara e Ofício Cível da Comarca de ...;/leilao/24144/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
COMITENTES DIVERSOS;/leilao/24173/;Materiais (2);;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24133/;Veículos (40);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) Vara e Ofício do Juizado Especial Cív...;/leilao/24126/;Materiais (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 1ª Vara e Ofício Cível de São José do...;/leilao/24127/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 1ª Vara e Ofício Cível de São José do...;/leilao/24128/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) 2ª Vara e Ofício Cível da Comarca de ...;/leilao/24129/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
